"Total","NRenew","Batt","Renew","Gas","Coal","Solar","HyproP","GasR","GasO","GasC","GasS","Dist","BlCoal","BrCoal","BattD","BattC","SolarR","SolarU","Wind","Bio","Hydro","Pumps"
512.97,382.43,0.04,130.54,43.56,338.86,44.62,35.02,2.04,7.37,27.12,7.03,0.01,261.93,76.93,0.2,0.16,30.99,13.63,49.47,1.39,38.68,3.66
556.24,414.93,-0.00999999999999998,141.31,55.57,359.35,48.49,42.03,2.17,12.09,33.89,7.42,0.01,273.27,86.08,0.17,0.18,31.71,16.78,49.43,1.37,43.26,1.23
549.43,425.83,0.07,123.6,67.3,358.49,51.49,41.18,2.14,16.35,35.5,13.31,0.04,272.33,86.16,0.23,0.16,34.52,16.97,29.81,1.05,42.09,0.91
553.16,432.35,0.09,120.81,76.2,356.11,42.28,43.48,1.96,18.33,38.5,17.41,0.04,271.71,84.4,0.23,0.14,30.41,11.87,34.18,0.78,45.04,1.56
547.85,421.08,0.03,126.77,66.52,354.54,47.51,45.27,1.76,15.2,35.9,13.66,0.02,268.54,86,0.21,0.18,33.01,14.5,32.8,1.16,46.47,1.2
559.76,394.61,0.14,165.15,38.41,356.2,42.39,37.7,2.05,7.41,21.96,6.99,0,269.77,86.43,0.25,0.11,28,14.39,83.63,1.29,39.95,2.25
532.07,365.11,0.13,166.96,32.07,333.04,45.06,34.62,2.13,6.08,15.63,8.23,0,247.43,85.61,0.29,0.16,30.84,14.22,85.82,1.33,38.84,4.22
524.14,361.73,0.08,162.41,25.93,335.8,43.19,33.01,2.16,3.6,13.37,6.8,0,250.02,85.78,0.23,0.15,30.6,12.59,84.77,1.36,36.89,3.88
575.26,408.16,0.06,167.1,53.1,355.05,51.46,47.94,2.11,10.04,26.59,14.36,0.01,269.41,85.64,0.21,0.15,34.19,17.27,66.86,0.78,50.73,2.79
573.14,454.85,0.06,118.29,89.44,365.36,51.84,48.25,2.07,24.95,37.55,24.87,0.05,280.43,84.93,0.23,0.17,33.18,18.66,17.89,0.25,49.18,0.93
559.03,427.04,0.04,131.99,60.94,366.07,53.95,31.92,2.09,11.77,32.32,14.76,0.03,279.25,86.82,0.14,0.1,35.11,18.84,45.39,0.69,34.19,2.27
552.4,400.57,0.04,151.83,52.24,348.33,49.82,32.81,2.02,12.22,23.47,14.53,0,263.8,84.53,0.21,0.17,32.61,17.21,67.89,1.27,35.32,2.51
