"Total","NRenew","Batt","Renew","Gas","Coal","Solar","HyproP","GasR","GasO","GasC","GasS","Dist","BlCoal","BrCoal","BattD","BattC","SolarR","SolarU","Wind","Bio","Hydro","Pumps"
519.15,393.98,0.01,125.17,51.87,342.09,43.81,45.31,3.09,0.81,42.46,5.51,0.02,252.04,90.05,0.14,0.13,30.8,13.01,36.04,0,45.94,0.63
481.3,363.06,0.06,118.24,21.25,341.81,35.74,31.62,2.42,0.54,12.23,6.06,0,251.43,90.38,0.2,0.14,22.82,12.92,50.82,0,31.94,0.32
488.76,330.39,0.06,158.37,19.29,311.1,52.43,16.38,2.62,0.14,10.01,6.52,0,234.8,76.3,0.21,0.15,35.18,17.25,89.5,0,23.43,7.05
478.4,353.51,0.05,124.89,22.67,330.84,55.62,34.55,3.17,2.11,9.81,7.58,0,247.7,83.14,0.17,0.12,35.52,20.1,34.67,0,36.97,2.42
481.83,375.6,0.05,106.23,24.91,350.69,53.98,40.77,2.96,2.08,13.47,6.4,0,255.86,94.83,0.18,0.13,36.33,17.65,11.43,0,42.76,1.99
515.4,388.99,0.04,126.41,35.22,353.77,53.56,41.9,2.75,1.8,26.97,3.7,0,257.29,96.48,0.17,0.13,35.9,17.66,30.91,0,41.99,0.09
518.92,377.71,0.06,141.21,29.4,348.28,50.36,29.13,2.37,1.01,23.72,2.3,0.03,252.08,96.2,0.17,0.11,33.03,17.33,61.5,0.16,31.68,2.55
519.43,373.88,0,145.55,26.81,347.04,45.63,33.11,2.58,1.59,20.04,2.6,0.03,255.49,91.55,0.15,0.15,29.58,16.05,66.51,0.3,34.53,1.42
529.25,381.18,0.00999999999999998,148.07,28.31,352.85,49.85,37.73,2.82,2.75,19.09,3.65,0.02,258.2,94.65,0.15,0.14,33.66,16.19,60.3,0.18,39.06,1.33
495.82,390.7,0.03,105.12,31.97,358.73,38.18,43.42,3.48,4.06,18.51,5.92,0,261.42,97.31,0.14,0.11,24.87,13.31,23.31,0.18,43.85,0.43
484.16,372.42,0.01,111.74,22.56,349.86,43.52,41.88,2.8,1.32,12.03,6.41,0,255.84,94.02,0.12,0.11,27.88,15.64,26.21,0.12,43.36,1.48
522.57,381.1,0.08,141.47,32.34,348.76,41.54,37.08,3.17,3.02,20.02,6.13,0,254.97,93.79,0.22,0.14,27.4,14.14,62.77,0,38.57,1.49
524.53,391.9,0.08,132.63,32.36,359.54,46.68,39.46,3.31,2.76,20.04,6.25,0,261.99,97.55,0.21,0.13,33.14,13.54,46.41,0,41.59,2.13
527.44,398.1,0.09,129.34,34.26,363.84,52.41,41.96,3.48,2.94,20.4,7.44,0,255.74,108.1,0.22,0.13,35,17.41,34.88,0,43.53,1.57
528.72,387.76,0.05,140.96,27.79,359.97,44.27,39.08,2.46,1.12,21.68,2.53,0,252.42,107.55,0.17,0.12,28.95,15.32,57.56,0,40.67,1.59
520.97,393.66,0.04,127.31,33,360.66,51.5,40.38,2.68,1.72,25.33,3.27,0,252.39,108.27,0.14,0.1,34.65,16.85,35.39,0,41.15,0.77
480.4,353.05,0.07,127.35,18.5,334.55,47.66,29.81,2.44,0.49,12.67,2.9,0,236.84,97.71,0.2,0.13,31.36,16.3,49.81,0,32.53,2.72
481.95,348.77,-0.01,133.18,20.12,328.65,41.8,30.94,2.04,0.23,14.04,3.81,0,236.49,92.16,0.1,0.11,27.58,14.22,60.45,0,34.62,3.68
523.93,401.13,0.01,122.8,30.35,370.78,48.29,45.18,2.15,2.72,21.59,3.89,0,267.71,103.07,0.12,0.11,30.32,17.97,29.32,0,45.19,0.01
527.88,378.38,0.02,149.5,29.71,348.67,35.61,36.93,2.19,0.45,24.63,2.44,0,246.13,102.54,0.13,0.11,22.44,13.17,76.94,0,36.93,0
534.42,396.6,0.07,137.82,31.58,365.02,30.47,41.56,2.14,1.8,24.3,3.34,0,257.17,107.85,0.22,0.15,21.15,9.32,65.72,0,41.56,0
552.77,397.04,0.13,155.73,28.01,369.03,33.07,44.62,2.16,0.6,21.48,3.77,0,259.49,109.54,0.27,0.14,21.54,11.53,77.91,0,44.72,0.1
560.6,376.46,0.04,184.14,21.02,355.44,40.19,38.52,2.05,0.41,16.27,2.29,0,250.62,104.82,0.16,0.12,28.13,12.06,105.39,0,40.15,1.63
521.96,346.78,0.09,175.18,15.97,330.81,39,29.97,1.95,0.78,10.91,2.33,0,233.59,97.22,0.22,0.13,30.02,8.98,106.12,0,33.54,3.57
505.56,375.79,0.07,129.77,24.9,350.89,43.92,44.68,2.67,3.43,14.1,4.7,0,249.54,101.35,0.18,0.11,30.48,13.44,41.1,0,47.14,2.46
539.37,422.13,0.07,117.24,45.26,376.87,45.4,55.94,3.22,10.17,26.34,5.53,0,270.42,106.45,0.19,0.12,28.97,16.43,15.83,0,58.79,2.85
543.4,402.82,0.05,140.58,32.61,370.21,49.78,51.38,2.49,1.9,25.21,3.01,0,261.9,108.31,0.17,0.12,32.55,17.23,39.37,0,51.38,0
521.55,372.91,0.08,148.64,19.24,353.67,43.32,33.58,0.01,0.88,16.19,2.16,0,256.1,97.57,0.19,0.11,28.47,14.85,71.66,0,34.47,0.89
534.09,371.16,0.08,162.93,23.33,347.8,36.74,30.95,2.57,0.95,17.88,1.93,0.03,257.71,90.09,0.21,0.13,24.86,11.88,95.16,0,32.13,1.18
523.43,367.08,0.08,156.35,29.07,337.98,44.34,42.89,2.76,2.44,21.94,1.93,0.03,251.12,86.86,0.21,0.13,29.47,14.87,69.04,0,43.87,0.98
501.44,348.95,0.08,152.49,23.37,325.58,37.16,30.25,2,1.17,17.92,2.28,0,240.17,85.41,0.2,0.12,24.44,12.72,85,0,33.18,2.93
502.79,373.04,0.03,129.75,39.76,333.28,43.56,43.2,2.99,5.5,25.51,5.76,0,246.13,87.15,0.13,0.1,28.02,15.54,42.96,0,45.23,2.03
551.23,416.58,0.07,134.65,46.47,370.11,49.54,53.47,3.17,3.98,34.48,4.84,0,272.24,97.87,0.14,0.07,31.61,17.93,31.57,0,53.87,0.4
554.86,400.02,0.05,154.84,41.57,358.44,42.64,45.74,2.91,3.57,30.2,4.89,0.01,264.48,93.96,0.19,0.14,26.69,15.95,66.41,0,45.74,0
556.7,436.05,0.07,120.65,55.62,380.4,36.08,56.25,3.82,6.56,35.57,9.67,0.03,285.08,95.32,0.14,0.07,22.85,13.23,28.25,0,56.25,0
563.89,445.02,0.06,118.87,56.67,388.34,40.89,56.9,3.55,9.13,34.32,9.67,0.01,291.67,96.67,0.15,0.09,25.28,15.61,21.02,0,56.9,0
561.25,436.74,0.07,124.51,48.19,388.55,46.15,55.72,3.76,6.65,28.04,9.74,0,285.5,103.05,0.15,0.08,29.69,16.46,22.57,0,55.72,0
515.82,389.29,0.06,126.53,41.5,347.79,44.19,46.44,3.29,3.17,24.38,10.66,0,264.2,83.59,0.18,0.12,28.39,15.8,35.84,0,47.99,1.55
506.77,380.43,0.03,126.34,40.06,340.37,45.6,47.06,3.42,2.5,26.54,7.6,0,256.92,83.45,0.13,0.1,28.87,16.73,33.65,0,48.8,1.74
550.13,404.86,0.06,145.27,51.25,353.61,36.86,49.23,3.27,6.36,34.82,6.8,0,269.6,84.01,0.16,0.1,24.86,12,59.12,0,49.79,0.56
545.31,381.85,0.06,163.46,39.79,342.06,32.04,41.55,2.31,3.02,29.01,5.45,0,261.01,81.05,0.2,0.14,22.42,9.62,89.81,0,42.46,0.91
547.46,400.77,0.07,146.69,41.83,358.94,26.5,40.44,3.16,2.53,32.76,3.38,0,276.18,82.76,0.19,0.12,18.38,8.12,79.68,0,41.61,1.17
561.86,432.57,0.1,129.29,60.54,372.03,20.28,56.45,4.2,5.55,38.58,12.21,0,289.81,82.22,0.22,0.12,13.32,6.96,52.46,0,57.67,1.22
576.9,452.89,0.12,124.01,74.62,378.27,25.78,64.65,4.7,8.91,42.98,18.03,0,292.22,86.05,0.26,0.14,17.74,8.04,33.46,0,65.59,0.94
544.85,417.19,0.08,127.66,34.48,382.71,20.71,46.68,3,2.73,24.17,4.58,0,283.05,99.66,0.2,0.12,13.68,7.03,60.19,0,47.46,0.78
526.43,395.85,0.08,130.58,28.22,367.63,38.08,38.71,3.5,1.08,18.96,4.68,0,267.93,99.7,0.18,0.1,22.31,15.77,53.71,0,41.75,3.04
574.59,434.76,0.05,139.83,51.99,382.77,43.23,52.73,4.3,6.08,34.11,7.5,0,285.39,97.38,0.18,0.13,25.93,17.3,43.82,0,53.2,0.47
573.25,425.6,0.11,147.65,46.85,378.75,39.93,51.9,3.29,7.64,29.93,5.99,0,292.43,86.32,0.22,0.11,25.71,14.22,55.71,0,54.27,2.37
559.92,428.42,0.06,131.5,61.66,366.76,35.68,54.2,4.15,8.9,37.72,10.89,0,285.71,81.05,0.21,0.15,22.45,13.23,41.56,0,54.36,0.16
555.59,441.14,0.1,114.45,74.73,366.41,38.03,56.28,4.93,10.35,44.6,14.85,0,290.26,76.15,0.22,0.12,24.7,13.33,20.04,0,57.41,1.13
558.38,419.74,0.1,138.64,54.91,364.83,41.1,51.42,3.95,7.59,36.14,7.23,0,289.44,75.39,0.22,0.12,25.61,15.49,46.02,0,52.77,1.35
516.11,354.44,0.05,161.67,23.19,331.25,40.29,24.28,2.64,1.1,16.82,2.63,0,247.04,84.21,0.17,0.12,26.69,13.6,97.05,0,28.5,4.22
504.61,365.22,0.06,139.39,28.74,336.48,32.39,35.21,2.4,0.92,21.87,3.55,0,243.47,93.01,0.18,0.12,20.44,11.95,71.73,0,35.21,0
568.73,402.03,0.06,166.7,40.09,361.94,31.42,42.7,2.73,4.56,29.57,3.23,0,263.08,98.86,0.19,0.13,20.79,10.63,92.52,0,43.56,0.86
593.33,433.78,0.09,159.55,49.62,384.14,33.98,47.7,3.26,5.55,36.14,4.67,0.02,278.53,105.61,0.21,0.12,22.97,11.01,77.78,0,49.43,1.73
584.98,450.05,0.09,134.93,57.36,392.68,38.64,42.6,2.85,9.83,38.25,6.43,0.01,281.37,111.31,0.19,0.1,26.53,12.11,53.6,0,43.7,1.1
591.82,467.67,0.11,124.15,58.24,409.41,41.02,53.78,3.64,7.67,38.92,8.01,0.02,296.3,113.11,0.24,0.13,27.02,14,29.24,0,53.78,0
586.54,476.07,0.12,110.47,62.96,413.11,38.61,55.1,1.81,10.76,42.06,8.33,0,300.74,112.37,0.22,0.1,27.51,11.1,16.64,0,55.16,0.06
555.72,462.41,0.07,93.31,48.75,413.66,37.12,44.44,4.24,8.59,30.01,5.91,0,300.02,113.64,0.18,0.11,24.17,12.95,10.94,0.74,47.32,2.88
547.61,446.82,0.07,100.79,49.67,397.15,30.37,41.7,2.98,7.29,34.39,5.01,0,284.99,112.16,0.16,0.09,20.02,10.35,28.59,0.06,45.53,3.83
560.79,446.54,0.06,114.25,54.53,392.01,40.62,46.46,3.07,7.15,35.33,8.98,0,279.03,112.98,0.17,0.11,26.29,14.33,27.11,0,49.82,3.36
600.1,471.49,0.13,128.61,77.07,394.4,36.95,56.9,4.05,14.82,46.51,11.69,0.02,281.68,112.72,0.25,0.12,24.54,12.41,33.98,0.65,59.69,2.79
594.05,482.52,0.16,111.53,77.01,405.21,31.17,52.06,4.31,17.16,43.58,11.96,0.3,291.62,113.59,0.34,0.18,20.35,10.82,27.52,0.62,54.17,2.11
